Bitcoin's price | has blasted through | the $100,000 threshold
Bitcoin's price | is influenced by | Donald Trump's election victory
Trump's election victory | helped | push Bitcoin's price higher
Trump celebrating milestone on social media | influenced | public perception/confidence in Bitcoin
Trump's pledge to make US a crypto capital | influenced | Bitcoin's price increase
Trump nominating Paul Atkins to SEC | caused | Bitcoin to break through $100k barrier
Paul Atkins being pro-crypto | influences | expectations of favorable crypto regulation
Anticipation of new administration being favorable to crypto | has driven | Bitcoin's price trend
SEC enforcement under Gensler | caused | previous regulatory pressure on crypto
FTX collapse | caused | Bitcoin price to fall sharply below $16,000 in 2022
SEC approval of spot Bitcoin ETFs | caused | investor confidence to increase
ETF approval | allowed | Blackrock, Fidelity, Grayscale to sell Bitcoin-based products
ETF product inflows | caused | increased capital investment in Bitcoin
Fear of missing out (FOMO) among younger people | drives | Bitcoin’s price to continue rising
Momentum in crypto markets | causes | increased caution among investors
Speculation | drives | Bitcoin's volatility
