Donald Trump's re-election | contributed to | Bitcoin hitting $100,000
Other contributing factors | led | the crypto resurgence
Donald Trump winning re-election | drove | Bitcoin price to soar
Bitcoin | surpassed | the $100,000 mark
$100,000 mark | was previously seen as | a point of resistance
Larger coin market cap | requires | more money to spike or dump price
Bitcoin's price movements | can influence | the rest of the crypto market
New inflows into crypto | go to | BTC (most obviously)
Speculation that US will build BTC reserve | skews | cycle towards BTC
Combination of favorable broader market and US government changes | caused | Bitcoin to surpass $90,000
US government changes | may trigger | a potentially massive shift
US approval of spot BTC and ETH ETFs | served as | major milestones
Implementation of Europe's MiCA regulation | constituted | significant development
House approval of FIT21 | constituted | significant development
BlackRock’s tokenized BUIDL fund | constituted | significant development
Interest rate hikes | caused | asset class to reel (a year ago)
Regulatory crackdowns | caused | asset class to reel (a year ago)
Crypto industry | accused of | "buying" the election for Trump
Coinbase | spent | over $50 million on political donations
Coinbase | denies | CEO Brian Armstrong openly supports Trump
Investors feeling more confident | caused | Bitcoin's price to spike
Trump's win | increased | investor confidence
Approval of Bitcoin ETFs | increased | investor confidence
Investors | believe | US regulation will favor them
Dynamic interplay of factors (sentiment, regulation, macro) | shapes | Bitcoin’s price
Inherently volatile nature | subjects | prices to rapid fluctuations
Trump | embraced | broader crypto industry
Trump | launched | his own NFTs
Trump | tapped | Elon Musk to run Department of Government Efficiency
Elon Musk | touted | meme coin (DOGE) on Saturday Night Live
Failure of FTX exchange | caused | crypto market crash
Trump | made | crypto promises
US government | obtained | Bitcoin holdings by seizing from cybercriminals
Trump | pledged | US government would never sell current Bitcoin holdings
Irreversibility of blockchain transactions | motivates | hackers and scammers to use crypto
Difficulty in tracing identities | motivates | hackers and scammers to use crypto
Trump | pledged to fire | Gary Gensler
Gary Gensler | announced | he will resign
Trump | selected | Paul Atkins to replace Gensler
Selection of Paul Atkins | constitutes | good news for crypto industry
Trump | supports | Bitcoin mining
Trump | wants | remaining Bitcoin mining done in America
Biden's hatred of Bitcoin | helps | China, Russia, and the Radical Communist Left (according to Trump)
Biden's policies | designed to hinder | crypto's advancement (according to Axios)
