Gold | bedazzled | investors (surging nearly 30%)
Election timing | correlates with | gold losing some of its shine
President-elect Donald Trump’s full-blown embracing of Bitcoin | could be | a problem for gold
Comments by Federal Reserve Chair Jerome Powell | heartened | crypto enthusiasts
Jerome Powell | compared | Bitcoin to gold (virtual and digital)
Investors and federal government cozying up to Bitcoin | could cause | gold to continue losing appeal
Rep. Sen. Cynthia Lummis | introduced | a bill for a Strategic Bitcoin Reserve
Bill | calls for | Treasury Department to buy and hold one million Bitcoin
Bill | suggests | Federal Reserve regional banks could sell gold to purchase Bitcoin
Recent political and legislative developments | caused | gold prices to fall about 3%
Recent political and legislative developments | caused | Bitcoin to soar more than 30%
Investors | shunned | gold in favor of crypto
Global gold exchange-traded funds | posted | monthly outflows in November
BlackRock’s iShares Bitcoin Trust ETF | has | more than $50 billion in net assets
BlackRock’s iShares Gold Trust | has | $33 billion in assets (less than Bitcoin ETF)
Crypto enthusiasts | have | fans in the highest levels of Washington
Increasing support from governments and investors | makes likely | Bitcoin's adoption as a national reserve currency
Bitcoin reserve | could diversify | assets
Bitcoin reserve | could serve as | a hedge against dollar's declining value
Powell’s comments | quelled | concerns about central bank viewing Bitcoin as a challenger
Powell’s remarks | propelled | hopes for monetary policy leaders embracing crypto
Lack of volatility | ensures | gold still has a place in portfolios
Digital currency | tended to have | 70% to 80% pullbacks roughly every four years
Falling stock market | often accompanies | Bitcoin drops
Bitcoin | offers | little stability
Lack of stability | deprives | Bitcoin of a clear investing or economic purpose currently
Lack of utility | makes | Bitcoin a speculative asset
Speculative nature | makes | Bitcoin ill-suited for diversified portfolios
Lack of correlation between Gold and Bitcoin | makes | them an interesting pair
Quantify Funds | launched | STKD Bitcoin & Gold ETF
STKD Bitcoin & Gold ETF | owns | both crypto and precious metals
Taking Bitcoin and gold together | provides | significant diversification and potential return
Greater market acceptance and government support | would benefit | Bitcoin
Rise of Bitcoin ETFs | indicates | support from Wall Street
Trump administration’s backing | indicates | support from Washington
