The cryptocurrency market | celebrated | a historic milestone
Bitcoin | eclipsed | $100,000
Trump’s announcement of pro-crypto nominee David Harlan | fueled | Bitcoin eclipsing $100,000
President-elect Donald Trump | announced | pro-crypto nominee David Harlan
David Harlan | is poised to replace | Gary Gensler
Gary Gensler’s tenure | was marked by | aggressive lawsuits
Gensler | filed aggressive lawsuits against | exchanges like Binance and Coinbase
Bitcoin’s value | has doubled since | the start of 2024
Bitcoin’s value | spiked by 55% after | the election
The 55% post-election spike | pushed | Bitcoin’s market cap beyond $2 trillion
Trump’s team | is stacking the deck in favor of | crypto deregulation
Trump | pledged to establish | a “Crypto Innovation Council”
Trump | pledged to explore | Bitcoin as a hedge against inflation
Trump’s pledges | echoed | sentiments from allies like Senator Mark Warner
Robust inflows into Bitcoin ETFs | coincide with | the surge
Bitcoin ETFs | have amassed | $28 billion
ETFs | were approved earlier this year by | major players including Goldman Sachs
Jerome Powell | likened | Bitcoin to “a modern alternative to traditional commodities”
Skeptics | highlight | past crashes
Terra-Luna collapse | caused | a 70% drop in 2022
Paul Rivera | warned | this rally could unwind if regulatory promises fall short
Supportive policies | could push | Bitcoin to potential highs of $150,000 by mid-2025
