Stock market rally | hit | fresh highs
Salesforce (CRM), Credo Technology Group (CRDO), Marvell Technology (MRVL), and positive earnings | buoyed | stock market rally
Tame economic data and Fed comments | bolstered | expectations for December rate cut
Tesla (TSLA) | kept surging | NONE
Nvidia (NVDA), Meta Platforms (META) | cleared | buy points
Microsoft (MSFT) | flashed | aggressive entries
Extended plays | grew | more
President-elect Trump’s pro-crypto SEC pick and Fed chief Jerome Powell’s comments | buoyed | Bitcoin rise above $100,000
Nasdaq | led | major indexes
Dow Jones | fell | slightly
Small-cap Russell 2000 | retreated | NONE
Salesforce (CRM) and upbeat tech earnings | led | market rally
Tame economic data | caused | Treasury yields to fall

Jobs report | bolstered | Fed rate cut hopes
Jobs report | cleared way for | December 18 rate cut
Stronger-than-expected payroll rebound | contrasted with | rate cut likelihood
Job growth | stabilized | at low level
Storms and Boeing (BA) strike | influenced | October job revisions
Unemployment rate | rose | to 4.2%
Ranks of employed | fell | by 355,000
Labor force participation | fell | by 193,000
Average hourly wages | rose | 0.4% month and 4% year
Wage growth | exceeded | estimates


Bitcoin | cleared | $100,000 threshold
Bitcoin | hit | all-time high of $103,900
Bitcoin | fell back | below $100,000
U.S. elections | spurred | Bitcoin new highs
Donald Trump | promised | friendlier crypto administration
Trump | nominated | Paul Atkins to lead SEC
Paul Atkins | expected to take | looser stance on crypto regulation
Jerome Powell | called | Bitcoin “digital gold”
Jerome Powell’s comments | spurred | Bitcoin higher
Trump | named | David Sacks as “AI & Crypto Czar”



Assassination of UNH CEO Brian Thompson | robbed | two boys of father
Assassination of Thompson | shook | entire industry
UNH | released | positive earnings outlook for 2025
UNH stock | rose | on Wednesday
Health care stocks | sold off | Thursday and Friday
Thompson’s wife | said | he faced threats
Threats | possibly linked to | lack-of-coverage issues
UNH | removed | executive pictures from website
Anthem Blue Cross Blue Shield | reversed | anesthesiology coverage limits
Public backlash | caused | Anthem reversal


Salesforce (CRM) | reported | Q3 earnings rose 14%
Salesforce | missed | EPS expectations slightly
Revenue | climbed | 8% to $9.44 billion
Operating margin | topped | estimates
Salesforce | signed | 200 Agentforce deals
Salesforce | pivoted to | autonomous AI agents
Pivot to AI agents | increased | expectations for AI monetization
Salesforce | forecast | Q4 revenue in line with consensus
Salesforce shares | gapped higher | after report
Business software stocks | rallied | with Salesforce



Zscaler (ZS) | reported | 36% earnings rise
Zscaler | revenue climbed | 26% to $628 million
Zscaler | guided | fractionally higher for Q2
SentinelOne (S) | broke even | vs prior loss
SentinelOne | revenue rose | 28%
SentinelOne | guided | slightly above consensus
Investors | hoped | for upside from CrowdStrike IT outage
Shares of SentinelOne | tumbled | NONE
Okta (OKTA) | EPS gained | 52%
Okta | revenue climbed | 14%
Okta | guided up | Q4 revenue
Okta shares | hit | resistance
Rubrik (RBRK) | reduced | loss to 21 cents per share
Rubrik | revenue jumped | 43%
Microsoft | backed | Rubrik IPO
Rubrik | achieved | $1B ARR
Rubrik | beat | net new ARR expectations
Rubrik shares | skyrocketed | NONE


Credo Technology (CRDO) | reported | earnings leaped 600%
Credo | revenue rose | 64% to $72 million
Credo | forecast | $120M January-quarter revenue
Forecast | exceeded | estimates
AEC products | connect | servers to networking equipment
Microsoft and Amazon | are | Credo’s largest customers
Credo shares | spiked | 48%


Marvell Technology (MRVL) | reported | 5% EPS gain
Marvell | sales rose | 7% to $1.516B
Marvell | guided up | Q4
Strong AI chip demand | drove | Marvell growth
Marvell | makes | custom AI chips for Google, Amazon, Microsoft
Marvell shares | soared | NONE


Amazon shares | climbed | to record highs
Amazon Web Services | stepped up | AI chip competition with Nvidia
AWS | announced | Apple uses Trainium2 chip
AWS | plans | Trainium3 launch
Amazon | building | UltraCluster of AI chips
UltraCluster | will train | Anthropic models
Amazon | invested | $8B into Anthropic
Andy Jassy | announced | Amazon Nova AI models
AWS | will offer | Nova models to enterprises


Judge Kathaleen McCormick | rejected | Elon Musk’s $56B pay deal
Tesla China sales | tracked | strong quarter
Tesla Europe & U.S. sales | remained | weak
Tesla | uncertain to achieve | 2024 delivery growth
Analysts | raised | Tesla price targets
Analyst optimism | boosted | Tesla stock
Elon Musk | expressed | optimism about Full Self-Driving
Musk optimism | drove | share price higher


Ulta Beauty (ULTA) | surged | on earnings
Lululemon (LULU) | surged | on earnings
Victoria’s Secret (VSCO) | traded | at 52-week highs
American Eagle (AEO) | plunged | on weak sales guidance


American Airlines (AAL) | guided up | Q4 EPS
Southwest Airlines (LUV) | hiked | revenue growth forecast
Airline stocks | climbed | together


