Bitcoin | shattered | $100,000 barrier
Bitcoin | climbed to | $105,000
heightened expectations | accompanied | Bitcoin's climb
expectations of a crypto-friendly Trump White House | influenced | market sentiment
digital currency's price | has surged | 48%
Donald Trump's election win | preceded | price surge
price | transformed from | $68,000 to $105,000
Trump's selection of Elena Vasquez | is attributed as cause of | Bitcoin boom
Elena Vasquez | was selected to oversee | Office of the Comptroller of the Currency
Vasquez | supported | integrating cryptocurrencies into the banking system
Biden era | imposed | crackdowns
industry voices | are | jubilant
Tyler Brooks | tweeted | statement
regulator | gets | it (crypto understanding)
Trump's campaign | included | promises of U.S. Digital Asset Strategy
Trump's campaign | included | incentives for domestic mining
rally | lifted | related stocks
Riot Blockchain | increased by | 60%
Kraken | saw | record volumes
Bitcoin's energy-intensive mining | draws | criticism
Rachel Klein | said | carbon footprint is unsustainable
federal comments from Treasury Secretary nominee | buoyed | sentiment
comments | suggested | Bitcoin could rival gold reserves
optimists | predict | $200,000 by 2026
historical volatility | tempers | excitement
2021 plunge | amounted to | 65%
Bitcoin | hovered around | $103,000
hovering | signaled | continued market fervor
