chief executive | is executive of | crypto intelligence firm CryptoQuant
chief executive | is identifying | one catalyst
one catalyst | could send | Bitcoin (BTC) to a $1 million price tag
Ki Young Ju | says | top crypto asset will overtake gold by the time it reaches $1 million
top crypto asset by market cap | reaches | $1 million price
top crypto asset by market cap | will have overtaken | gold
investor demand | shifts from | gold
investor demand | shifts to | BTC
investor demand shifting from gold to BTC | makes inevitable | crypto king reaching nine figures
gold ETFs | were approved after | 2004
gold | had market cap | $1 trillion in 2004
gold | has market cap | $17.8 trillion today
gold | has intrinsic value as a precious metal of | $1 trillion
$16.8 trillion | represents | demand for gold as a safe-haven asset and hedge against inflation
demand for gold as a safe-haven asset and hedge against inflation | amounts to | $16.8 trillion
Bitcoin | has current market cap | $2 trillion
gold demand | shifts to | BTC (hypothetical condition)
gold demand shifting to BTC | could increase | Bitcoin’s market cap by 750%
inflation (being considered) | supports view | Bitcoin reaching $1 million is a matter of when, not if
Bitcoin | will reach | $1 million
people | will start discussing | the gold flippening within five years
Ju | notes | BTC has yet to form a bubble
BTC | has yet to form | a bubble
BTC | reached | the $100,000 milestone
$100,000 milestone | occurred | earlier this week
fresh capital | is fueling | Bitcoin
realized cap | grew | recently
growth in realized cap | caused | ceiling price to increase
ceiling price | increased from | $129,000 to $146,000
ceiling price increase | occurred over | 30 days
Bitcoin price at $102,000 | is | far from a bubble
Bitcoin price | would need | a 43% surge to hit bubble threshold
43% surge in Bitcoin price | would make | price hit the threshold often considered a bubble
bubble threshold | is considered | a bubble level for Bitcoin
