The cryptocurrency market | celebrated | a historic milestone
Bitcoin | eclipsed | $100,000
Bitcoin eclipsing $100,000 | led to | the cryptocurrency market celebrating a historic milestone
President-elect Donald Trump | announced | pro-crypto nominee David Harlan for the Securities and Exchange Commission
Trump's announcement of pro-crypto nominee David Harlan | fueled | Bitcoin eclipsing $100,000
Trump's announcement of pro-crypto nominee David Harlan | fueled | the cryptocurrency market's celebration
David Harlan | is nominee for | the Securities and Exchange Commission
Harlan | is | a veteran Wall Street lawyer
Harlan | has ties to | digital asset lobbying groups
Harlan | is poised to replace | the departing Gary Gensler
Gary Gensler | is | departing
Gary Gensler's tenure | was marked by | aggressive lawsuits against exchanges like Binance and Coinbase
Gary Gensler | brought aggressive lawsuits against | exchanges like Binance and Coinbase
Bitcoin's value | has nearly doubled since | the start of 2024
Post-election period | saw | a 55% spike in Bitcoin's value
The 55% spike post-election | pushed | Bitcoin's market cap beyond $2 trillion
Bitcoin's market cap | is beyond | $2 trillion
Trump's team | is stacking the deck in favor of | crypto deregulation
Lisa Chen | commented | "Trump's team is stacking the deck in favor of crypto deregulation"
Lisa Chen | is | head of digital assets at Morgan Stanley Research
Trump | pledged to establish | a "Crypto Innovation Council"
Trump | pledged to explore | Bitcoin as a hedge against inflation
Bitcoin | is framed as | a hedge against inflation
Trump's pledges | echoed | sentiments from allies like Senator Mark Warner
Senator Mark Warner | holds | similar sentiments about crypto policy
The surge in Bitcoin | coincides with | robust inflows into Bitcoin ETFs
Robust inflows into Bitcoin ETFs | support | the surge in Bitcoin
Bitcoin ETFs | have amassed | $28 billion
Bitcoin ETFs | have amassed $28 billion since | their approval earlier this year
Bitcoin ETFs | were approved earlier this year by | major players including Goldman Sachs
Federal Reserve Chair Jerome Powell | added to | optimism
Jerome Powell | likened | Bitcoin to "a modern alternative to traditional commodities"
Bitcoin | is likened to | a modern alternative to traditional commodities
Skeptics | highlight | past crashes
Skeptics | highlight | the 70% drop in 2022
The 70% drop in 2022 | followed | the Terra-Luna collapse
The Terra-Luna collapse | triggered | the 70% drop in 2022
Past crashes | undermine | current enthusiasm
This rally | is | speculative
Regulatory promises | falling short could unwind | this rally
This rally | could unwind if | regulatory promises fall short
Paul Rivera | warned | "This rally is speculative and could unwind if regulatory promises fall short"
Paul Rivera | is | chief strategist at Economic Outlook Institute
Bitcoin | traded at | $102,500 Thursday morning
Analysts | forecast | potential highs of $150,000 by mid-2025
Supportive policies | materializing could push | Bitcoin to $150,000 by mid-2025
Materialization of supportive policies | could lead to | potential highs of $150,000 by mid-2025
