The chief executive | is identifying | one catalyst
One catalyst | could send | Bitcoin to a $1 million price tag

Ki Young Ju | says | top crypto asset will have overtaken gold when it reaches $1M
Top crypto asset | reaches | $1 million
Top crypto asset | will have overtaken | gold

Investor demand | shifts from | gold to BTC
Crypto king | reaching | nine figures
Reaching nine figures | is | inevitable

Gold’s market cap | was | $1 trillion (in 2004)
Gold ETFs | were approved | (implicit effect: after 2004)
Gold’s market cap | is | $17.8 trillion (today)

Gold’s intrinsic value | is | $1 trillion
$16.8 trillion | represents | gold’s demand as a safe-haven asset
Gold’s demand | serves as | hedge against inflation

Bitcoin’s current market cap | is | $2 trillion
Gold demand | shifts to | BTC
Bitcoin | could go up | 750%

Inflation | contributes to | Bitcoin reaching $1 million (implicit)
Bitcoin reaching $1 million | isn’t about if; is about | when
People | will start discussing | the gold flippening (within five years)

BTC | has yet to form | a bubble
BTC | reached | the $100,000 milestone

Fresh capital | is fueling | Bitcoin
Realized cap | grew | (causing ceiling price to increase)
Ceiling price | increased from | $129,000 to $146,000 (in 30 days)

Bitcoin at $102,000 | is far from | a bubble
Bitcoin | would need | a 43% surge to hit bubble threshold
