Bitcoin | blasted through | $100,000 price level
Bitcoin | reached | a peak price of $106,500
Bitcoin | settled at | $102,000 price level
President-elect Donald Trump's triumph | is associated with | 50% growth in Bitcoin
50% growth in Bitcoin | underscores | investor bets on Trump's pro-crypto agenda
Trump's pro-crypto agenda | motivates | investor bets
Trump's naming of crypto advocate Jordan Ellis to lead the Fed digital currency task force | was key to | the spike in Bitcoin
Trump's naming of Jordan Ellis | placed | Ellis in charge of the Federal Reserve's digital currency task force
Ellis's consulting on Ethereum projects | made | Ellis known as a crypto advocate
Appointment of Ellis | represents | a pivot from restrictive policies under Janet Yellen's Treasury
Restrictive policies under Janet Yellen's Treasury | constrained | crypto-friendly regulation
Investor Kyle Sanders | declared | "This is crypto's golden era"
Trump | once dismissed as a scam | Bitcoin
Trump | now champions | Bitcoin
Trump's shift from dismissing to championing Bitcoin | signals | a reversal in his stance on crypto
Trump | vowed to create | tax-free zones for crypto transactions
Trump | vowed to create | a government-backed stablecoin
Creation of tax-free zones for crypto transactions | is intended to encourage | crypto transactions
Creation of a government-backed stablecoin | is intended to support | broader crypto adoption
ETF approvals | have supercharged | the Bitcoin surge
JPMorgan Chase's crypto ETF products | drew | $22 billion in assets
$22 billion of ETF inflows | fueled | the Bitcoin surge
Fed Vice Chair's nod to Bitcoin as "innovative finance" | added fuel to | the Bitcoin rally
Economist Nora Feldman | cautions about | the risk of a crypto bubble
2022 crypto meltdown | wiped out | trillions in value
Bubbles | eventually burst and | destroy large amounts of market value
MicroStrategy's status as a major Bitcoin holder | linked | its share performance to Bitcoin's price
Bitcoin rally | caused | MicroStrategy shares to rocket 70%
MicroStrategy | saw | its shares rocket 70%
Trump assembling his team | prompts | the crypto world to watch for upcoming policies
Crypto world | eyes | policies that could integrate Bitcoin into national reserves
Policies integrating Bitcoin into national reserves | could drive | Bitcoin prices to $180,000 by late 2025
Integration of Bitcoin into national reserves | would embed | Bitcoin in national reserve assets
