Bitcoin's surge to $100,000 | constitutes | a staggering price
Virtual object | consists of | nothing more than computer code
Post by Elon Musk | drove | wild ride (surging and tumbling) in crypto currencies
Crypto currencies | experienced | massive swings in value
Current market conditions | swelled | total value to over $3 trillion
Market volatility (three years ago) | wiped off | nearly $1 trillion in valuation
Asset class | exhibits | instability
Lack of backing | results in | no intrinsic value
Scarcity | generates | value (according to devotees)
Scarcity alone | fails to be | a sufficient source of value
"Greater fool" theory | motivates | Bitcoin investors
Finding a buyer at a higher price | enables | profit from investment
Arriving late to a speculative bubble | exposes | naive investors to greatest risk of losses
Government | should caution | retail investors
Retail investors | act at | their own peril
Sophisticated investors | may tap into | benefits
New technologies | dazzle | less well-off investors
Being dazzled by technology | causes | less well-off investors to take on uncomprehended risks
